feedback_text,rating
the app has poor performance and crashes often,2
frustrating delays and poor communication,2
rude service and a bad attitude,1
very late delivery with no updates,2
the website is slow and the search never works,2
a disappointing product at a high price,2
helpful staff who solved my problem quickly,5
decent service but slow responses,3
delighted with the quality and the speed,5
fast service and fast delivery,5
I neither like nor dislike the app,3
rude staff made a bad experience worse,1
excellent service and very helpful staff,5
broken features and no support at all,1
the checkout page is broken again,1
the whole process is frustrating and slow,2
"good design, easy and fast to use",4
the app crashed and deleted my account,1
neither impressed nor disappointed,3
reliable performance every single day,4
great service with friendly staff,5
the support team responded within minutes,5
it has potential but is not there yet,3
a smooth and easy setup process,4
"the app is average, nothing stands out",3
okay quality for the price,3
a waste of time dealing with rude support,1
love the quality and the quick delivery,5
"I love the new design, it is very fast",5
the app behaves badly on older phones,2
"average documentation, could be clearer",3
"recommended, great service and fast delivery",5
the payment failed three times today,1
mixed quality across different features,3
the app runs smoothly and never crashes,4
helpful documentation and easy setup,4
it works fine most of the time,3
the staff were rude and completely unhelpful,1
the staff were helpful and polite throughout,5
the app is adequate but not impressive,3
"a great experience, I would recommend it",5
"passable support, slow but correct",3
it fails every time I submit the form,2
the item never arrived and support never replied,1
the app is broken and nobody will fix it,1
the delivery was terrible and arrived very late,1
"buggy and slow, a poor experience",2
I recommend the app for its speed,4
reliable service and reliable quality,4
the item arrived late and damaged,1
the app is buggy and badly tested,2
a decent product with a few rough edges,3
"standard features, average design",3
"waste of money, the quality is poor",1
the app failed during checkout again,1
this is the worst experience imaginable,1
the app is passable for simple tasks,3
superb design and excellent performance,5
"average support, sometimes helpful sometimes not",3
easy to use but missing key features,3
"adequate performance, nothing more",3
the interface is clean and easy to use,4
a poor experience with rude and unhelpful staff,1
"poor support, nobody seems to care",1
good app but the support is weak,3
constant crashes make it useless,1
"an acceptable product, nothing more",3
the documentation is clear and well written,4
"it exceeded my expectations, excellent quality",5
"expensive, slow and disappointing",1
easy to use and very reliable,4
standard service with standard quality,3
"okay app, average support, fine delivery",3
moderate quality and moderate speed,3
the quality is good but the price is high,3
standard delivery time and packaging,3
"alright service, nothing special",3
the app works perfectly on my phone,5
the new features are excellent and useful,4
nothing to praise and nothing to complain about,3
the quality is awful and the price is high,1
it is neither the best nor the worst,3
"awful service, I am very disappointed",1
average speed and average reliability,3
the website is terribly slow and badly designed,1
"disappointing service, nothing worked as promised",1
it is fine for everyday use,3
"great experience, I will definitely return",5
fast delivery but poor packaging,3
"disappointing performance, it crashes often",2
"great support team, very helpful",5
functional but rather dull,3
"poor quality materials, it broke in a week",1
some parts are excellent and others are poor,3
"great delivery, quick and well packaged",5
"frustrating design, nothing is where I expect",2
the response time is slow and frustrating,2
slow loading and constant errors on every page,1
"well designed, fast and easy to navigate",4
"adequate support, slow but polite",3
"average quality, it does the job",3
everything arrived on time and in perfect condition,5
"outstanding support, very helpful staff",5
buggy software that crashes constantly,1
"slow, buggy and completely unreliable",1
friendly service and quick responses,5
"neither good nor bad, just average",3
"very frustrating, the app fails constantly",1
the worst app I have used this year,1
"easy setup, I was ready in minutes",5
brilliant design and smooth performance,5
acceptable quality for a low price,3
reasonable effort but nothing outstanding,3
"an okay experience, nothing memorable",3
the service was bad and the staff were rude,1
the delivery was okay but the packaging was poor,3
"passable quality, I have seen better",3
the login is broken since the update,2
a perfect experience with helpful staff,5
poor design makes the website hard to use,2
an adequate service with minor problems,3
the price is reasonable but the app is average,3
a complete waste of money and time,1
decent design but the search is weak,3
horrible design and a confusing interface,1
the checkout is slow and often fails,2
"extremely slow support, I waited three days",1
clean interface and reliable performance,4
reasonable quality for a reasonable price,3
nothing works properly since the update,1
some improvement since last time but still average,3
quick and helpful responses from support,4
the support was fine but took a while,3
"wonderful support, they were very helpful",5
an average product at an average price,3
it meets the minimum standard,3
"fine, but I expected a bit more",3
usable but not enjoyable,3
fast delivery and excellent packaging,5
the interface is fine but plain,3
"worst support team, completely unhelpful",1
a frustrating experience with bad support,1
they solved my problem on the first call,5
"good support, friendly and quick",4
the app is terrible and crashes every time I open it,1
the website is average but usable,3
fast and easy checkout process,4
